iter	RMSE
0	8.329451984
1	7.913472079
2	7.518307882
3	7.142923972
4	6.786332071
5	6.447581977
6	6.125802553
7	5.82013696
8	5.529780424
9	5.253974544
10	4.991993117
11	4.743138376
12	4.506760052
13	4.282220886
14	4.068963245
15	3.866379072
16	3.673984635
17	3.491228187
18	3.317661339
19	3.152819551
20	2.996272159
21	2.847616275
22	2.706427877
23	2.572347122
24	2.445039219
25	2.324157469
26	2.209387004
27	2.100411453
28	1.996947531
29	1.898741259
30	1.805524702
31	1.717011362
32	1.633053722
33	1.553359115
34	1.477767065
35	1.406021463
36	1.337981554
37	1.273445854
38	1.21224525
39	1.154190252
40	1.099068197
41	1.046765936
42	0.9972112265
43	0.9502011853
44	0.9057220877
45	0.8635436503
46	0.8236846468
47	0.7859758196
48	0.7503058992
49	0.7165491486
50	0.6846548061
51	0.6542893261
52	0.6258081099
53	0.5989511526
54	0.5735068389
55	0.5494978143
56	0.5268835288
57	0.5056247963
58	0.4856280708
59	0.4667276214
60	0.4482375713
61	0.4300998347
62	0.4129851824
63	0.3968756155
64	0.3817655209
65	0.3676409601
66	0.3543588787
67	0.3419029389
68	0.3302025716
69	0.3192669924
70	0.3090489846
71	0.2994471806
72	0.2905303322
73	0.282074441
74	0.274098931
75	0.2667661587
76	0.2599982498
77	0.2537376807
78	0.2477904462
79	0.2422584526
80	0.2372137541
81	0.2324590018
82	0.2281275471
83	0.2239079697
84	0.2199541753
85	0.2164911144
86	0.213262005
87	0.210165427
88	0.2072344458
89	0.2046736113
90	0.2021998567
91	0.2000562363
92	0.1979553303
93	0.1961414499
94	0.1943992952
95	0.1926874641
96	0.191352292
97	0.1900441992
98	0.18867892
99	0.1875620672
