iter	Passed	Remaining
0	1976	195628
1	3888	190556
2	5908	191051
3	7822	187747
4	9650	183362
5	11485	179937
6	13305	176778
7	15132	174026
8	16978	171667
9	18720	168487
10	20543	166212
11	22434	164516
12	24312	162704
13	26143	160598
14	27999	158666
15	29838	156651
16	31695	154747
17	33526	152733
18	35366	150772
19	37208	148834
20	39078	147010
21	40932	145125
22	42794	143268
23	44614	141280
24	46447	139343
25	48275	137400
26	50083	135409
27	51929	133532
28	53757	131612
29	55709	129988
30	57563	128124
31	59305	126023
32	61136	124124
33	62975	122245
34	64915	120557
35	66776	118713
36	68617	116834
37	70528	115072
38	72339	113145
39	74151	111227
40	76005	109373
41	77847	107503
42	79716	105670
43	81611	103868
44	83487	102040
45	85431	100288
46	87510	98681
47	89366	96814
48	91320	95047
49	93271	93271
50	95240	91506
51	97180	89705
52	99045	87832
53	101006	86042
54	102957	84238
55	104353	81991
56	106139	80070
57	107928	78155
58	109365	76000
59	110844	73896
60	112653	72024
61	114621	70251
62	116579	68467
63	118559	66689
64	120131	64686
65	122101	62900
66	123595	60875
67	125499	59058
68	127050	57080
69	128648	55135
70	130645	53362
71	132649	51585
72	134256	49656
73	136005	47785
74	137754	45918
75	139904	44180
76	141874	42377
77	144178	40665
78	146088	38833
79	147896	36974
80	149393	35042
81	151174	33184
82	153493	31438
83	155589	29636
84	157854	27856
85	159525	25969
86	161290	24100
87	163394	22281
88	165739	20484
89	167588	18620
90	169586	16772
91	171904	14948
92	174182	13110
93	176104	11240
94	178095	9373
95	180157	7506
96	182340	5639
97	184668	3768
98	186820	1887
99	189099	0
